PROVIDER,CLASSIFICATION,DESCRIPTION,PRICE,UNIT
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Pentazocine 50 mg,45,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Pethidine 50mg/ml in 2 ml Ampoule,180,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Pethidine 50 mg,135,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Pethidine 50mg 0r 100mg,45,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Tramadol 50mg,27,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Tramadol 50mg/ml ampoule,90,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Naloxone 0.4mg/ml in 1ml Ampoule,3150,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Acetyl salicylic Acid 300mg,1.8,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Paracetamol 500mg,2.7,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Paracetamol 100 mg,27,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Paracetamol 125mg/5ml,108,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Paracetamol 125mg/5ml,180,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Paracetamol 150mg/ml,27,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Paracetamol 50mls,360,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Allopurinol 100mg,18,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Celecoxib 200mg,162,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Chondriotin sulphate+ Glucoseamine 200mg+250mg,54,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,"Diclofenac (sodium or potassium salt) 100mg,",18,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Diclofenac (sodium or potassium salt) 50mg,13.5,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Diclofenac (sodium or potassium salt) 25mg/ml Ampoule,45,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Diclofenac sodium 0.01,360,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Diclofenac sodium + misoprostol Single,58.5,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Diclofenac sodium + misoprostol Forte,58.5,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Diclofenac sodium + misoprostol 50mg/200mcg,63,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Diclofenac sodium + misoprostol 75mg/200mcg,72,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Diclofenac sodium+B1+B6+B12 ,18,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Diclofenac sodium+Cholestyramine 75mg/65mg,135,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,"Ibuprofen 200mg,",9,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Ibuprofen 400mg,18,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Ibuprofen 100mg/5ml,225,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Ketoprofen 150mg or 200mg,45,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Ketoprofen 100mg,90,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Naproxen 250mg,36,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Naproxen 500mg,54,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Piroxicam 20mg,9,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Piroxicam 10mg/ml,90,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Ophenadrine 100mg,18,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Orphenadrine + Paracetamol 35mg+ 450mg,18,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Tizanidine 6mg,45,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Cetrizine 10mg,27,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Cetrizine 1mg/5ml,1350,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Chlorpheniramine 4mg (Maleate),4.5,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Chlorpheniramine 2mg/5ml,162,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Chlorpheniramine 10mg (Maleate) in 1ml Ampoule,22.5,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Clemastine 1mg,18,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Clemastine 500mcg/5ml,360,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Loratidine 10mg,18,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Loratidine 5mg/5ml,900,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,"Promethazine 25mg, (Hydrochloride)",4.5,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Promethazine 5mg/5ml,135,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Promethazine 25mg/ml (HC1) in 1 ml and 2ml Ampoule,18,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Dexamethasone 4mg/1ml,18,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Epinephrine (Adrenaline) 1mg/ml (1 in 1000) as Acid tartrate or,27,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Epinephrine (Adrenaline) HC1 in 1ml Ampoule,27,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,"Hydrocortisone Powder for reconstitution, 100mg",108,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Hydrocortisone (Sodium Succinate) in vial,108,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Atropine 1.0mg (Sulphate) in 1ml Ampoule,45,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Atropine 1 mg,45,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Deferoxamine 500 mg/vial,2025,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Methylene blue 5ml,360,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Methylene blue 50 ml,2250,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Naloxone 400mcg/ml,3150,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Phytomenadione (Vitamin K1) 10mg/ml in 1ml,162,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Protamine sulphate 10mg/ml in 5 ml,675,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Sodium calcium edetate 200mg/ml in 5 ml,450,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Sodium nitrite 30mg/ml in 10 ml vial,297,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Activated charcoal Tablet,36,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,"Activated charcoal 5g/satchet, powder 25 g, 50 g pack, for",630,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Carbamazepine 200mg,9,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Carbamazepine 400mg SR,54,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Carbamazepine 100mg/5ml,1350,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Diazepam 5mg/ml in 2ml Ampoule,135,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Ethosuximide 250 mg,49.5,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Magnesium sulphate 50% (500 mg/ml) in 2 ml,360,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,"Paraldehyde 10ml, 5 mls",180,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,"Phenobarbital 15mg,",4.5,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,"Phenobarbital 30mg,  60mg",9,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Phenobarbital 15mg/5ml,225,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Phenobarbital 200mg/ml,135,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,"Phenytoin Sodium 100mg, 50 mg, 25, mg",27,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Sodium valproate 200mg,54,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Sodium valproate 500mg SR,126,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Sodium valproate 200mg/5ml,3150,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Metronidazole 200mg,4.5,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Metronidazole 400mg,5.4,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Metronidazole 200mg/5ml,90,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Metronidazole 500mg in 100ml bottle,90,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Metronidazole 500mg,90,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Secnidazole 500mg,324,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Tinidazole 500mg,90,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Albendazole 200mg,135,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Albendazole 100mg/5ml,162,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Levamisole 40mg,18,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Levamisole 40mg/5ml,135,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,"Mebendazole 100mg,",315,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Mebendazole 500 mg,315,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Mebendazole 100mg/5ml,810,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Pyrantel Pamoate 125mg (pamoate),225,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Pyrantel Pamoate 125mg/5ml,225,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Praziquantel 600mg,54,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Ivermectin 6mg,4.5,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,a-B–Artemether Injection 150mg/2ml,1215,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Artemeter 80mg/ml,180,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Artemeter 40mg/ml in 1ml Ampoule,135,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Artemeter + Lumefantrine 20mg/120mg,540,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Artemeter + Lumefantrine 80mg/480mg,450,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Artemeter + Lumefantrine 10mg/60mg,540,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Artemeter + Lumefantrine 180mg/1080mg,540,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Artemeter + Lumefantrine 20mg/120mg,540,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Artesunate 50mg/tab,36,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Artesunate 80mg/5ml,540,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Atersunate  + Sulfadoxine+ Pyrimethamine 200mg/500mg/25mg,540,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Atersunate  + Sulfadoxine+ Pyrimethamine 100mg/250mg/12.5mg,360,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Atersunate + Amodiaquine 50mg/200mg,540,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Atersunate + Amodiaquine 200mg/600mg,540,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Atersunate + Amodiaquine 25mg/75mg,270,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Atersunate + Mefloquine 200mg/250mg,900,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Atersunate + Mefloquine 100mg/125mg,315,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,"Chloroquine (restricted) 300 mg,",9,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,"Chloroquine (restricted) 200mg/5ml,",27,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,"Chloroquine (restricted) 75mg/5ml,",108,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Dihydroartemisinin 60mg/Tablet,576,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Dihydroartemisinin 160mg/80mls,540,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Dihydroartemisinin  + Piperaquine phosphate 40mg/320mg,585,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Dihydroartemisinin  + Piperaquine phosphate 30mg/225mg,495,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Dihydroartemisinin  + Piperaquine phosphate 62.5mg/375mg,540,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Dihydroartemisinin  + Piperaquine phosphate 80/640mg,540,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Proguanil 100mg (HC1),9,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Pyrimethamine + Sulphadoxine 25mg  Pyrimethamine +500mg Sulphadoxine,135,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Pyrimethamine 25mg  Pyrimethamine,9,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Quinine 300mg,40.5,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Quinine 300mg (dihydrochloride)/ml in 2ml amp,90,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Quinine ,405,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Amoxycillin 250mg,9,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Amoxycillin 500 mg,13.5,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Amoxycillin 125mg/5ml,180,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Amoxycillin 500mg in vials,135,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,"Amoxycillin plus Clavulanic Acid (Co-amoxiclav) 250 mg amoxycillin (Trihydrate) +125 mg clavulanic Acid
(Potassium Salt)",54,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,"Amoxycillin plus Clavulanic Acid (Co-amoxiclav) 500mg     amoxycillin (Trihydrate) +        125mg clvulanic
acid(potassium salt)",90,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,"Amoxycillin plus Clavulanic Acid (Co-amoxiclav) 200 mg Amoxycillin (trihydrate) + 28 mg Clavulanic acid
(Potassium salt)/5 ml",1035,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,"Amoxycillin plus Clavulanic Acid (Co-amoxiclav) 400 mg Amoxycillin (trihydrate) + 57 mg Clavulanic acid
(Potassium salt)/5 ml",1350,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,"Amoxycillin plus Clavulanic Acid (Co-amoxiclav) 500 mg Amoxycillin (Sodium salt) + 100 mg Clavulanic
acid (Potassium salt) in vial",405,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,"Amoxycillin plus Clavulanic Acid (Co-amoxiclav) 1g Amoxycillin (Sodium salt) + 200 mg Clavulanic acid
(Potassium salt) in vial",630,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Ampicillin + Cloxacillin 250mg of each constituent,9,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Ampicillin + Cloxacillin 125mg of each/5ml,180,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Ampicillin + Cloxacillin Ampicillin  60mg + Cloxacillin 30mg/0.6mls,180,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Ampicillin + Cloxacillin Ampicillin 50mg + cloxacillin 25 mg,135,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,"Ampicillin + Cloxacillin Ampicillin 250mg+Cloxacillin 250mg per vial (sodium salt
of each)",108,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Azithromycin 250mg,135,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Azithromycin 500mg,315,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Azithromycin 200mg/ 5ml,900,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Benzathine- Benzylepenicillin 2.4 M.U. of benzylpenicillin,360,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Benzylepenicillin 1.0 MU Vial,45,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Benzylepenicillin 5 MU Vial,90,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Cefixime 400mg,135,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Cefixime 200mg,90,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Cefixime 100mg/5ml,675,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Cefotaxime 500mg,270,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Ceftazidime 1gm,720,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,"Ceftriaxone 250mg,",450,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Ceftriaxone 500mg I.M.,450,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Ceftriaxone 1g IV,630,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,"Cefuroxime 250mg,",90,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Cefuroxime 500 mg,144,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Cefuroxime 125mg/5ml,1080,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Cefuroxime 750mg,450,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Cefuroxime 250 mg,360,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Cephalexin 500mg,31.5,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Cephalexin 125mg/5ml,432,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Cephalexin 250mg/5ml,585,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Chloramphenicol (restricted) 250mg,4.5,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Chloramphenicol (restricted) 125mg/5ml (Palmitate),180,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Chloramphenicol (restricted) 1g (sodium succinate) in vial,90,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Ciprofloxacin 250mg (HC1),36,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Ciprofloxacin 500 mg (Hcl),36,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Ciprofloxacin I.V. 2mg/ml (lactate) in 50 and 100ml vials,90,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Clarithromycin 250mg,90,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Clarithromycin 500mg,108,
